Name,Institution,City,County,Enrollment,Founded
"University of California, Berkeley",UC,Berkeley,Alameda,42519,1869
"University of California, Davis",UC,Davis,Yolo,39152,1905
"University of California, Irvine",UC,Irvine,Orange,35220,1965
"University of California, Los Angeles",UC,Los Angeles,Los Angeles,45428,1882
"University of California, Merced",UC,Merced,Merced,8544,2005
"University of California, Riverside",UC,Riverside,Riverside,23278,1954
"University of California, San Diego",UC,San Diego,San Diego,38798,1960
"University of California, Santa Barbara",UC,Santa Barbara,Santa Barbara,24346,1891
"University of California, Santa Cruz",UC,Santa Cruz,Santa Cruz,19700,1965
California State University Maritime Academy,CSU,Vallejo,Solano,1017,1929
California Polytechnic State University,CSU,San Luis Obispo,San Luis Obispo,21812,1901
"California State Polytechnic University, Pomona",CSU,Pomona,Los Angeles,26443,1938
"California State University, Bakersfield",CSU,Bakersfield,Kern,10493,1965
California State University Channel Islands,CSU,Camarillo,Ventura,7095,2002
"California State University, Chico",CSU,Chico,Butte,17488,1887
"California State University, Dominguez Hills",CSU,Carson,Los Angeles,15741,1960
"California State University, East Bay",CSU,Hayward,Alameda,14525,1959
"California State University, Fresno",CSU,Fresno,Fresno,24995,1911
"California State University, Fullerton",CSU,Fullerton,Orange,39774,1957
"California State University, Long Beach",CSU,Long Beach,Los Angeles,36846,1949
"California State University, Los Angeles",CSU,Los Angeles,Los Angeles,27685,1947
"California State University, Monterey Bay",CSU,Seaside-Marina,Monterey,7079,1994
"California State University, Northridge",CSU,Northridge,Los Angeles,38716,1958
"California State University, Sacramento",CSU,Sacramento,Sacramento,31131,1947
"California State University, San Bernardino",CSU,San Bernardino,San Bernardino,19973,1965
California State University San Marcos,CSU,San Marcos,San Diego,14511,1988
"California State University, Stanislaus",CSU,Turlock,Stanislaus,10214,1957
Humboldt State University,CSU,Arcata,Humboldt,7774,1913
San Diego State University,CSU,San Diego,San Diego,34881,1897
San Francisco State University,CSU,San Francisco,San Francisco,29586,1899
San Jose State University,CSU,San Jose,Santa Clara,32828,1857
Sonoma State University,CSU,Rohnert Park,Sonoma,9201,1960
